"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL6042742";"";"None";"463.57";"1";"6.54";"BDBM349622";"CNCCCc1ccc(Oc2c(C(=O)c3c(C)cc(F)cc3C)sc3cc(O)ccc23)cc1";"IC50";"'<'";"1000.0";"nM";"";"";"691321";"UO_0000065";"";"";"";"";"0";"CHEMBL5732839";"Estrogen Receptor (ER) Degradation Assay: A screening strategy was implemented utilizing an In-Cell Western assay to measure their ability to degrade the estrogen receptor in vitro. MCF7 cells, which are estrogen receptor positive, were plated at a cell density of 3.5E-05 cells/mL into black walled clear bottom 96-well plates. Cells were incubated in phenol red free Dulbecco's Modified Eagle Media (DMEM) supplemented with 8% charcoal-stripped fetal bovine calf serum for 24 hours in a humidified 37° C. incubator. Concentrated stock compounds were diluted to 10× in complete media. Compounds were added to the plated cells in a dose-dependent manner ranging from 1E-12 to 1E-05 M and incubated for an additional 24 hours at 37° C. Culture medium was removed from the culture plates by gentle inversion. Cells were fixed in 4% paraformaldehyde in 1× phosphate buffered saline-calcium magnesium free (PBS-CMF) for 15 minutes at room temperature, washed 3 times for 5 minutes each in 1×PBS-CMF. Cells were permeabilized in immunofluorescence (IF) blocking buffer (Cell Signaling #12411) containing 0.3% Triton X100. Cells were washed 3 times for 5 minutes each in 1×PBS-CMF and incubated in estrogen receptor α (D6R2W) rabbit primary antibody (Cell Signaling #13258) diluted 1:300 in IF antibody dilution buffer (Cell Signaling #12378). Cells were washed 3 times for 5 minutes each in 1×PBS-CMF and stained with goat anti-rabbit (Biotium #CF770) secondary antibody diluted 1:2000 in IF antibody dilution buffer and normalizing stain CellTag 700 diluted 1:500 (Licor #926-41090). ER protein expression was assessed by the Licor Odyssey CLx imaging system using Image Studio v5.2. Data is processed utilizing GraphPad Prism 7 by subtracting background from the vehicle and setting the vehicle to 100% ER activity, followed by comparing treated samples to vehicle.";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5872";"G-protein coupled estrogen receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5726517";"37";"BindingDB Patent Bioactivity Data";"";"2019";"None";"";"";"";"1000.0"
"CHEMBL5916120";"";"None";"507.60";"2";"6.83";"BDBM349623";"Cc1cc(F)cc(C)c1C(=O)c1sc2cc(O)ccc2c1Oc1ccc(CCN2CC(CF)C2)cc1";"IC50";"'<'";"1000.0";"nM";"";"";"691324";"UO_0000065";"";"";"";"";"0";"CHEMBL5732840";"Human ERalpha Reporter Assa: All reagents used in this assay was supplied in the Human ERα Reporter Assay by Indigo Biosciences # IB00401. In an effort to screen selective estrogen receptor degraders (SERDs), the Human ERα Reporter Assay, supplied by Indigo Biosciences, was utilized to quantify antagonist functional activity against the human estrogen receptor. Reporter cells were thawed at 37° C. and added to pre-warmed to 37° C. cell recovery medium (CRM). Stock concentration of 17β-estradiol was serially diluted in CRM. Diluted 17β-estradiol was added to CRM containing reporter cells resulting in a working concentration of 1.6 nM (2×). Cells plus 17β-estradiol were dispensed in a kit-supplied white walled 96-well plate. Concentrated stocks of test compounds were diluted to 2× working concentrations in cell screening medium (CSM). 2× concentrated compounds were added to the plated cells in a dose-dependent manner resulting in a final concentration range of 1E-11 to 1E-5 M and a final 17β-estradiol concentration of 8E-10 M. Assay plates were incubated for 24 hours in a humidified 37° C. incubator. Culture medium was removed from the assay plates by inversion. Detection substrate and buffer was warmed to room temperature, mixed thoroughly, and immediately added to the assay plates. Assay plates were incubated for 15 minutes at room temperature protected from light. Luminescence was measured in a Synergy HTX luminescence plate reader. Data is processed utilizing GraphPad Prism 7 by graphing the relative light units measured at each compound concentration.";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5872";"G-protein coupled estrogen receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5726517";"37";"BindingDB Patent Bioactivity Data";"";"2019";"None";"";"";"";"1000.0"
"CHEMBL5838721";"";"None";"491.60";"1";"6.70";"BDBM349625";"Cc1cc(F)cc(C)c1C(=O)c1sc2cc(O)ccc2c1-c1ccc(CCN2CC(CF)C2)cc1";"IC50";"'<'";"1000.0";"nM";"";"";"691328";"UO_0000065";"";"";"";"";"0";"CHEMBL5732840";"Human ERalpha Reporter Assa: All reagents used in this assay was supplied in the Human ERα Reporter Assay by Indigo Biosciences # IB00401. In an effort to screen selective estrogen receptor degraders (SERDs), the Human ERα Reporter Assay, supplied by Indigo Biosciences, was utilized to quantify antagonist functional activity against the human estrogen receptor. Reporter cells were thawed at 37° C. and added to pre-warmed to 37° C. cell recovery medium (CRM). Stock concentration of 17β-estradiol was serially diluted in CRM. Diluted 17β-estradiol was added to CRM containing reporter cells resulting in a working concentration of 1.6 nM (2×). Cells plus 17β-estradiol were dispensed in a kit-supplied white walled 96-well plate. Concentrated stocks of test compounds were diluted to 2× working concentrations in cell screening medium (CSM). 2× concentrated compounds were added to the plated cells in a dose-dependent manner resulting in a final concentration range of 1E-11 to 1E-5 M and a final 17β-estradiol concentration of 8E-10 M. Assay plates were incubated for 24 hours in a humidified 37° C. incubator. Culture medium was removed from the assay plates by inversion. Detection substrate and buffer was warmed to room temperature, mixed thoroughly, and immediately added to the assay plates. Assay plates were incubated for 15 minutes at room temperature protected from light. Luminescence was measured in a Synergy HTX luminescence plate reader. Data is processed utilizing GraphPad Prism 7 by graphing the relative light units measured at each compound concentration.";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5872";"G-protein coupled estrogen receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5726517";"37";"BindingDB Patent Bioactivity Data";"";"2019";"None";"";"";"";"1000.0"
"CHEMBL5802929";"";"None";"533.67";"2";"7.64";"BDBM349613";"Cc1cc(F)cc(C)c1C(=O)c1sc2cc(O)ccc2c1Oc1ccc(OCCN2CCCCCC2)cc1";"IC50";"'<'";"1000.0";"nM";"";"";"691303";"UO_0000065";"";"";"";"";"0";"CHEMBL5732839";"Estrogen Receptor (ER) Degradation Assay: A screening strategy was implemented utilizing an In-Cell Western assay to measure their ability to degrade the estrogen receptor in vitro. MCF7 cells, which are estrogen receptor positive, were plated at a cell density of 3.5E-05 cells/mL into black walled clear bottom 96-well plates. Cells were incubated in phenol red free Dulbecco's Modified Eagle Media (DMEM) supplemented with 8% charcoal-stripped fetal bovine calf serum for 24 hours in a humidified 37° C. incubator. Concentrated stock compounds were diluted to 10× in complete media. Compounds were added to the plated cells in a dose-dependent manner ranging from 1E-12 to 1E-05 M and incubated for an additional 24 hours at 37° C. Culture medium was removed from the culture plates by gentle inversion. Cells were fixed in 4% paraformaldehyde in 1× phosphate buffered saline-calcium magnesium free (PBS-CMF) for 15 minutes at room temperature, washed 3 times for 5 minutes each in 1×PBS-CMF. Cells were permeabilized in immunofluorescence (IF) blocking buffer (Cell Signaling #12411) containing 0.3% Triton X100. Cells were washed 3 times for 5 minutes each in 1×PBS-CMF and incubated in estrogen receptor α (D6R2W) rabbit primary antibody (Cell Signaling #13258) diluted 1:300 in IF antibody dilution buffer (Cell Signaling #12378). Cells were washed 3 times for 5 minutes each in 1×PBS-CMF and stained with goat anti-rabbit (Biotium #CF770) secondary antibody diluted 1:2000 in IF antibody dilution buffer and normalizing stain CellTag 700 diluted 1:500 (Licor #926-41090). ER protein expression was assessed by the Licor Odyssey CLx imaging system using Image Studio v5.2. Data is processed utilizing GraphPad Prism 7 by subtracting background from the vehicle and setting the vehicle to 100% ER activity, followed by comparing treated samples to vehicle.";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5872";"G-protein coupled estrogen receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5726517";"37";"BindingDB Patent Bioactivity Data";"";"2019";"None";"";"";"";"1000.0"
"CHEMBL5909272";"";"None";"449.55";"1";"6.45";"BDBM349620";"Cc1cc(F)cc(C)c1C(=O)c1sc2cc(O)ccc2c1Oc1ccc(CN(C)C)cc1";"IC50";"'<'";"1000.0";"nM";"";"";"691318";"UO_0000065";"";"";"";"";"0";"CHEMBL5732840";"Human ERalpha Reporter Assa: All reagents used in this assay was supplied in the Human ERα Reporter Assay by Indigo Biosciences # IB00401. In an effort to screen selective estrogen receptor degraders (SERDs), the Human ERα Reporter Assay, supplied by Indigo Biosciences, was utilized to quantify antagonist functional activity against the human estrogen receptor. Reporter cells were thawed at 37° C. and added to pre-warmed to 37° C. cell recovery medium (CRM). Stock concentration of 17β-estradiol was serially diluted in CRM. Diluted 17β-estradiol was added to CRM containing reporter cells resulting in a working concentration of 1.6 nM (2×). Cells plus 17β-estradiol were dispensed in a kit-supplied white walled 96-well plate. Concentrated stocks of test compounds were diluted to 2× working concentrations in cell screening medium (CSM). 2× concentrated compounds were added to the plated cells in a dose-dependent manner resulting in a final concentration range of 1E-11 to 1E-5 M and a final 17β-estradiol concentration of 8E-10 M. Assay plates were incubated for 24 hours in a humidified 37° C. incubator. Culture medium was removed from the assay plates by inversion. Detection substrate and buffer was warmed to room temperature, mixed thoroughly, and immediately added to the assay plates. Assay plates were incubated for 15 minutes at room temperature protected from light. Luminescence was measured in a Synergy HTX luminescence plate reader. Data is processed utilizing GraphPad Prism 7 by graphing the relative light units measured at each compound concentration.";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5872";"G-protein coupled estrogen receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5726517";"37";"BindingDB Patent Bioactivity Data";"";"2019";"None";"";"";"";"1000.0"
"CHEMBL5943019";"";"None";"507.60";"2";"6.54";"BDBM349626";"Cc1cc(F)cc(C)c1C(=O)c1sc2cc(O)ccc2c1-c1ccc(OCCN2CC(CF)C2)cc1";"IC50";"'<'";"1000.0";"nM";"";"";"691329";"UO_0000065";"";"";"";"";"0";"CHEMBL5732839";"Estrogen Receptor (ER) Degradation Assay: A screening strategy was implemented utilizing an In-Cell Western assay to measure their ability to degrade the estrogen receptor in vitro. MCF7 cells, which are estrogen receptor positive, were plated at a cell density of 3.5E-05 cells/mL into black walled clear bottom 96-well plates. Cells were incubated in phenol red free Dulbecco's Modified Eagle Media (DMEM) supplemented with 8% charcoal-stripped fetal bovine calf serum for 24 hours in a humidified 37° C. incubator. Concentrated stock compounds were diluted to 10× in complete media. Compounds were added to the plated cells in a dose-dependent manner ranging from 1E-12 to 1E-05 M and incubated for an additional 24 hours at 37° C. Culture medium was removed from the culture plates by gentle inversion. Cells were fixed in 4% paraformaldehyde in 1× phosphate buffered saline-calcium magnesium free (PBS-CMF) for 15 minutes at room temperature, washed 3 times for 5 minutes each in 1×PBS-CMF. Cells were permeabilized in immunofluorescence (IF) blocking buffer (Cell Signaling #12411) containing 0.3% Triton X100. Cells were washed 3 times for 5 minutes each in 1×PBS-CMF and incubated in estrogen receptor α (D6R2W) rabbit primary antibody (Cell Signaling #13258) diluted 1:300 in IF antibody dilution buffer (Cell Signaling #12378). Cells were washed 3 times for 5 minutes each in 1×PBS-CMF and stained with goat anti-rabbit (Biotium #CF770) secondary antibody diluted 1:2000 in IF antibody dilution buffer and normalizing stain CellTag 700 diluted 1:500 (Licor #926-41090). ER protein expression was assessed by the Licor Odyssey CLx imaging system using Image Studio v5.2. Data is processed utilizing GraphPad Prism 7 by subtracting background from the vehicle and setting the vehicle to 100% ER activity, followed by comparing treated samples to vehicle.";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5872";"G-protein coupled estrogen receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5726517";"37";"BindingDB Patent Bioactivity Data";"";"2019";"None";"";"";"";"1000.0"
"CHEMBL5843070";"";"None";"501.52";"2";"5.69";"BDBM288612";"CC1Cc2cc(-c3cnn(C)c3)c(F)cc2C(c2c(F)cc(/C=C/C(=O)O)cc2F)N1CC(C)(C)F";"IC50";"'='";"1.36";"nM";"8.87";"";"550430";"UO_0000065";"17.68";"0.34";"3.18";"15.19";"0";"CHEMBL5731406";"Biological Assay: The compounds of the present invention have an inhibition effect on the binding of E (estrogen) to ER (estrogen receptor), thereby blocking the binding of a complex of E and ER to ERE (estrogen responsive element), and subsequently blocking the expression of downstream luciferase protein.";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5872";"G-protein coupled estrogen receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5725744";"37";"BindingDB Patent Bioactivity Data";"";"2018";"None";"";"";"";"1.36"
"CHEMBL5956841";"";"None";"458.48";"1";"5.05";"BDBM288624";"CC1Cc2cc(OCC#N)ccc2C(c2c(F)cc(/C=C/C(=O)O)cc2F)N1CC(C)(C)F";"IC50";"'='";"37.7";"nM";"7.42";"";"550442";"UO_0000065";"16.19";"0.31";"2.37";"10.09";"0";"CHEMBL5731406";"Biological Assay: The compounds of the present invention have an inhibition effect on the binding of E (estrogen) to ER (estrogen receptor), thereby blocking the binding of a complex of E and ER to ERE (estrogen responsive element), and subsequently blocking the expression of downstream luciferase protein.";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5872";"G-protein coupled estrogen receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5725744";"37";"BindingDB Patent Bioactivity Data";"";"2018";"None";"";"";"";"37.7"
"CHEMBL5869121";"";"None";"489.53";"1";"5.31";"BDBM288627";"CC1Cc2cc(O[C@H]3CCOC3)ccc2C(c2c(F)cc(/C=C/C(=O)O)cc2F)N1CC(C)(C)F";"IC50";"'='";"13.7";"nM";"7.86";"";"550445";"UO_0000065";"16.06";"0.31";"2.55";"13.33";"0";"CHEMBL5731406";"Biological Assay: The compounds of the present invention have an inhibition effect on the binding of E (estrogen) to ER (estrogen receptor), thereby blocking the binding of a complex of E and ER to ERE (estrogen responsive element), and subsequently blocking the expression of downstream luciferase protein.";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5872";"G-protein coupled estrogen receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5725744";"37";"BindingDB Patent Bioactivity Data";"";"2018";"None";"";"";"";"13.7"
"CHEMBL5809580";"";"None";"421.49";"1";"5.84";"BDBM349621";"Cc1cc(F)cc(C)c1C(=O)c1sc2cc(O)ccc2c1Oc1ccc(CN)cc1";"IC50";"'<'";"1000.0";"nM";"";"";"691320";"UO_0000065";"";"";"";"";"0";"CHEMBL5732840";"Human ERalpha Reporter Assa: All reagents used in this assay was supplied in the Human ERα Reporter Assay by Indigo Biosciences # IB00401. In an effort to screen selective estrogen receptor degraders (SERDs), the Human ERα Reporter Assay, supplied by Indigo Biosciences, was utilized to quantify antagonist functional activity against the human estrogen receptor. Reporter cells were thawed at 37° C. and added to pre-warmed to 37° C. cell recovery medium (CRM). Stock concentration of 17β-estradiol was serially diluted in CRM. Diluted 17β-estradiol was added to CRM containing reporter cells resulting in a working concentration of 1.6 nM (2×). Cells plus 17β-estradiol were dispensed in a kit-supplied white walled 96-well plate. Concentrated stocks of test compounds were diluted to 2× working concentrations in cell screening medium (CSM). 2× concentrated compounds were added to the plated cells in a dose-dependent manner resulting in a final concentration range of 1E-11 to 1E-5 M and a final 17β-estradiol concentration of 8E-10 M. Assay plates were incubated for 24 hours in a humidified 37° C. incubator. Culture medium was removed from the assay plates by inversion. Detection substrate and buffer was warmed to room temperature, mixed thoroughly, and immediately added to the assay plates. Assay plates were incubated for 15 minutes at room temperature protected from light. Luminescence was measured in a Synergy HTX luminescence plate reader. Data is processed utilizing GraphPad Prism 7 by graphing the relative light units measured at each compound concentration.";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL5872";"G-protein coupled estrogen receptor 1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL5726517";"37";"BindingDB Patent Bioactivity Data";"";"2019";"None";"";"";"";"1000.0"
